name,desc,vibe
Boho Dress,"Flowy, earthy tones perfect for outdoor festivals and carefree days.",boho;free-spirited
Streetwear Hoodie,Bold colors and oversized fit for an energetic city vibe and skate culture.,urban;energetic
Minimalist White Shirt,"Clean, crisp lines and lightweight fabric for a modern, simple look.",minimalist;chic
Cozy Knit Sweater,Soft wool texture to keep you warm—perfect for relaxed winter evenings.,cozy;casual
Elegant Black Blazer,Sharp tailoring and subtle sheen for formal events or evening outings.,formal;elegant
Sporty Tracksuit,"Lightweight, breathable fabric with athletic cut for active lifestyles.",sporty;casual
Retro Floral Top,Colorful floral prints with a vintage silhouette for playful daytime looks.,retro;playful
Denim Jacket,Classic blue denim with a rugged feel for a timeless casual aesthetic.,casual;vintage
Summer Linen Pants,"Breathable, lightweight linen for cool comfort and natural elegance.",summer;minimalist
Glam Sequin Dress,Sparkly sequins and sleek fit for parties and bold evening fashion.,glam;evening
